County,Population,Population Change Since 2014,Median Age,Population Under Age 18,Population Aged 65+,Veteran Population,Agricultural Land,Percent Change in Ag Land since 2017,Number of Farms,Percent Change in Num of Farms since 2017,Broadband Internet Access 2022 ,Broadband Internet Access 2019 ,Computing Device Access 2022 ,Computing Device Access 2019 ,Percent Children in Poverty,Average Weekly Wage,Per Capita Income 2022,Gross Domestic Product 2022,Gross Domestic Product 2021,Pre-K Enrollment 2023,Pre-K Enrollment 2022,K-12 Current Expense Funding per pupil,Total Funding for K-12,Opportunity Youth 2022,Opportunity Youth 2019,Adults Without a High School Diploma,Educational Attainment,Food Insecurity 2022,Food Insecurity 2021,Traditional Medicaid Enrollment %,Medicaid Expansion Enrollment %,Uninsured Residents 2021,Uninsured Residents 2020,"ER visits for Drug Overdose Per 100,000","Overdose Deaths Per 100,000",Property Tax Rates 2024,Property Tax Rates 2023,Property Tax Levy Per Capita,Taxable Property Valuation Per Capita,Sales Taxes
Pitt,177440,8033,32.83,0.2169,0.1505,0.0624,151433,-0.1876,367,-0.2322,0.86,0.81,0.83,0.81,0.229,1086,53495,9399,9243,0.51,0.5033,2015,48.79,0.0814,0.0895,0.0808,0.5974,0.156,0.131,0.3426,0.0929,0.126,0.123,98,50.3,0.5663,0.6841,645,94279,0.07
Polk,19660,-183,51.32,0.1481,0.3116,0.0727,24076,-0.1727,274,-0.0249,0.81,0.77,0.81,0.79,0.195,832,61494,533,509,1.3284,1.0341,3035,6.16,0.1666,0.1366,0.0803,0.5187,0.154,0.122,0.2536,0.0855,0.131,0.141,111,57.9,0.5343,0.5343,1011.6,189331,0.0675
Randolph,146358,4050,41.22,0.2059,0.1956,0.0576,131301,-0.1115,1238,-0.095,0.86,0.76,0.79,0.76,0.176,898,46748,4188,4172,0.4613,0.4282,1415,30.38,0.1614,0.1305,0.1426,0.3604,0.161,0.135,0.3302,0.1007,0.161,0.151,246,79.4,0.5,0.5,591.1,118220,0.07
Richmond,42299,-2369,41.43,0.2247,0.1962,0.0626,57946,-0.0207,261,0.1013,0.8,0.73,0.71,0.69,0.306,844,46009,2003,1797,0.6708,0.5908,1356,8.69,0.1625,0.1712,0.1492,0.3655,0.182,0.166,0.5296,0.1401,0.131,0.149,500,82.5,0.75,0.83,727.5,87652,0.0675
Robeson,118737,-8645,37.37,0.2266,0.1769,0.0628,263080,-0.0025,732,0.0139,0.7,0.59,0.65,0.6,0.35,852,41071,3846,3830,0.5161,0.669,638,13.36,0.2066,0.2196,0.2051,0.3228,0.204,0.18,0.5909,0.1742,0.169,0.197,286,87.3,0.75,0.77,542.6,70470,0.07
Rockingham,91571,-379,44.29,0.1876,0.2232,0.0516,109295,-0.1229,769,-0.0889,0.77,0.7,0.72,0.71,0.229,854,45332,2796,2764,0.4398,0.4055,1338,15.83,0.1629,0.1888,0.143,0.3838,0.17,0.14,0.3403,0.095,0.142,0.133,235,74.7,0.5801,0.695,655.5,94314,0.07
Rowan,153047,12761,41.01,0.2106,0.1982,0.0577,104888,-0.118,801,-0.1341,0.87,0.81,0.8,0.79,0.231,1058,46990,5810,5680,0.3403,0.3665,2236,41.11,0.1237,0.1277,0.1314,0.4104,0.156,0.132,0.3285,0.0783,0.145,0.129,253,75.3,0.58,0.58,761.8,131350,0.07
Rutherford,65035,-677,43.43,0.1951,0.2217,0.0685,63632,0.0619,614,-0.0097,0.81,0.7,0.75,0.73,0.214,872,42525,1835,1800,0.6335,0.6009,N/A, N/A ,0.1665,0.1374,0.1199,0.3684,0.184,0.16,0.371,0.1049,0.14,0.136,278,68.6,0.454,0.454,768.6,169290,0.07
Sampson,59770,-2325,39.75,0.239,0.196,0.055,292205,-0.03,882,-0.0813,0.78,0.64,0.71,0.66,0.257,908,46849,1802,1894,0.697,0.6488,1317,14.03,0.1816,0.1358,0.1782,0.3695,0.165,0.125,0.4268,0.1102,0.177,0.179,148,25.2,0.625,0.825,733,88844,0.07
Scotland,33130,-2309,40.6,0.228,0.2082,0.0648,51025,-0.0698,121,0.1204,0.79,0.61,0.68,0.62,0.343,911,41064,1185,1156,1.0561,0.9677,1905,10,0.1623,0.1699,0.1641,0.315,0.194,0.179,0.5031,0.1518,0.133,0.143,322,57.4,0.99,0.99,762,76971,0.0675
Stanly,64286,3971,42.46,0.1999,0.2099,0.0507,109164,0.1387,649,-0.0342,0.86,0.81,0.8,0.78,0.19,853,48212,1870,1812,0.7347,0.7143,1593,15,0.1271,0.1211,0.1367,0.4111,0.153,0.125,0.3017,0.0846,0.136,0.128,194,35,0.61,0.61,674.6,110593,0.07
Stokes,46036,302,45.91,0.1743,0.2296,0.0581,81361,-0.1242,726,-0.1519,0.81,0.7,0.79,0.76,0.154,741,46391,1208,1112,0.6791,1.0296,2711,14.87,0.163,0.1749,0.0883,0.3896,0.157,0.138,0.2857,0.0823,0.128,0.137,173,52.6,0.71,0.66,720.9,109233,0.0675
Surry,71249,-1196,42.24,0.2024,0.2066,0.0459,105791,-0.3061,933,-0.1231,0.78,0.66,0.75,0.72,0.227,906,48778,2527,2546,0.6555,0.6247,N/A, N/A ,0.1434,0.162,0.1447,0.4238,0.179,0.145,0.3387,0.095,0.151,0.147,162,46,0.552,0.552,590.4,106959,0.07
Swain,13857,-789,39.92,0.2309,0.2021,0.0666,3930,-0.6121,70,-0.2929,0.74,0.6,0.68,0.63,0.207,898,51517,701,695,1.2211,0.8382,419,0.83,0.1277,0.2028,0.1235,0.3646,0.182,0.151,0.4693,0.1555,0.204,0.242,189,98.1,0.41,0.36,535.5,148737,0.07
Transylvania,33230,680,51.09,0.1545,0.333,0.0828,11537,-0.2143,142,-0.3395,0.86,0.81,0.8,0.8,0.209,902,55406,1796,1712,0.8611,0.9136,3679,13.35,0.1106,0.0993,0.0661,0.4593,0.15,0.12,0.2468,0.0825,0.137,0.155,151,20.4,0.6033,0.6033,1324.6,219554,0.0675
Tyrrell,3324,-663,44.79,0.1965,0.2386,0.0725,63761,0.2043,73,0.0735,0.75,0.63,0.69,0.64,0.281,826,45079,103,115,1.3846,0.5455,1340,0.6,0.1852,0.1586,0.3529,0.2593,0.158,0.137,0.3523,0.0857,0.174,0.186,75,49.8,0.95,0.95,1280.3,134765,0.0675
Union,263285,48061,39.83,0.2058,0.1497,0.0402,212066,0.1363,882,-0.0784,0.93,0.91,0.89,0.89,0.087,1129,67641,8592,8307,0.4667,0.4732,2694,122.69,0.0938,0.0782,0.0916,0.5784,0.105,0.076,0.2056,0.0454,0.103,0.108,114,20.8,0.588,0.588,916.5,155875,0.0675
Vance,40712,-3009,38.41,0.2299,0.1969,0.058,38231,-0.4221,170,-0.2857,0.8,0.7,0.75,0.71,0.315,872,43356,1265,1264,0.6593,0.5881,1307,9.47,0.1428,0.1977,0.1792,0.337,0.162,0.143,0.563,0.1187,0.143,0.144,180,47.2,0.7129,0.89,657.5,73876,0.0675
Wake,1210000,217857,39.33,0.2059,0.1401,0.0454,62323,-0.1907,664,-0.0391,0.94,0.91,0.92,0.92,0.083,1424,76357,94676,91399,0.3985,0.3718,3659,644.26,0.0811,0.0694,0.0573,0.7489,0.111,0.085,0.1888,0.0438,0.092,0.095,104,21.7,0.5135,0.657,1146.3,174469,0.0725
Warren,18803,-1293,44.12,0.1747,0.2507,0.0588,63669,0.0476,237,-0.1124,0.74,0.59,0.68,0.66,0.273,748,37601,317,320,0.4958,0.9091,3233,5.56,0.25,0.205,0.1266,0.3378,0.173,0.138,0.3644,0.0905,0.162,0.174,76,30.4,0.81,0.81,1240.1,153100,0.0675
Washington,10304,-1817,46.78,0.2145,0.2826,0.0773,76554,-0.0392,110,-0.2199,0.66,0.63,0.63,0.6,0.353,902,45405,277,290,0.9839,0.72,1687,1.66,0.186,0.1715,0.0602,0.3075,0.177,0.166,0.4409,0.1448,0.121,0.129,43,17.3,0.85,0.85,843.9,99282,0.07
Watauga,57751,5946,30.07,0.1144,0.1807,0.0481,29402,-0.4074,400,-0.2308,0.89,0.83,0.88,0.87,0.128,880,48445,2369,2309,1.25,0.7571,3187,15.28,0.0553,0.0566,0.0694,0.6687,0.153,0.126,0.1294,0.0385,0.126,0.133,77,24.9,0.318,0.318,800.7,251800,0.0675
Wayne,117140,-4968,37.76,0.2449,0.1779,0.0909,149752,-0.0943,415,-0.2468,0.87,0.8,0.78,0.77,0.264,906,49370,4951,4947,0.6136,0.594,1250,22.86,0.1272,0.1349,0.1398,0.4368,0.16,0.13,0.3931,0.0928,0.148,0.149,114,22.7,0.7675,0.7425,603.7,81312,0.0675
Wilkes,66315,-1397,43.97,0.1936,0.2274,0.0529,114778,0.0756,871,-0.0655,0.84,0.75,0.77,0.75,0.284,876,47495,2460,2437,0.8124,0.9089,1814,14.91,0.1434,0.1553,0.1452,0.3931,0.175,0.149,0.3371,0.1015,0.155,0.147,190,35.1,0.66,0.66,634.4,96118,0.07
Wilson,78355,-894,39.44,0.2215,0.1887,0.0621,126286,0.0272,207,-0.25,0.8,0.75,0.7,0.74,0.306,1019,48774,3740,3780,0.2709,0.2664,2040,24.54,0.1677,0.2109,0.134,0.3954,0.165,0.137,0.4109,0.1105,0.16,0.151,188,36.7,0.595,0.73,761.4,104299,0.0675
Yadkin,37511,40,43.22,0.1938,0.2134,0.0563,98329,0.1235,754,-0.0782,0.81,0.72,0.76,0.72,0.176,855,47455,938,940,1.157,0.7449,1652,8.2,0.1429,0.1459,0.0743,0.3899,0.156,0.131,0.3048,0.0772,0.146,0.154,186,50.4,0.65,0.65,703.1,108171,0.0675
Yancey,18606,850,45.79,0.1777,0.2573,0.0499,21341,-0.3076,288,-0.2195,0.79,0.7,0.76,0.73,0.214,844,42006,401,414,0.3333,0.449,N/A, N/A ,0.0555,0.0554,0.0703,0.4374,0.167,0.136,0.3089,0.0941,0.143,0.147,94,22.1,0.52,0.6,813.5,135589,0.0675
